feature,gain_importance,split_importance,mean_gain_importance,mean_split_importance
pressure_in_window_6_min,193543.09237909317,441,32257.182063182194,73.5
cond_mist_t0,192860.8079814911,327,32143.46799691518,54.5
dew_point_f_window_6_std,192527.19231510162,1207,32087.86538585027,201.16666666666666
pressure_in_window_3_std,186696.89063739777,871,31116.148439566296,145.16666666666666
pressure_in_lag_2,184005.75766849518,534,30667.62627808253,89.0
pressure_in_lag_96,181578.79440641403,1080,30263.132401069004,180.0
pressure_in_lag_12,178957.19014167786,660,29826.19835694631,110.0
pressure_in_window_48_min,174676.2061419487,633,29112.701023658115,105.5
dew_point_f_window_96_min,172457.84793758392,690,28742.97465626399,115.0
humidity_pct_lag_6,171658.57005882263,612,28609.76167647044,102.0
pressure_in_window_96_min,170841.97763109207,864,28473.662938515346,144.0
humidity_pct_t0,169453.55293941498,761,28242.25882323583,126.83333333333333
pressure_in_lag_72,169291.14025497437,923,28215.190042495728,153.83333333333334
dew_point_f_window_24_min,168474.49985313416,604,28079.083308855694,100.66666666666667
cond_light_t0,167498.07287979126,292,27916.34547996521,48.666666666666664
temperature_f_lag_32,166764.18113040924,807,27794.03018840154,134.5
wind_speed_mph_window_96_max,161753.90537929535,751,26958.984229882557,125.16666666666667
pressure_in_lag_6,160569.44179916382,560,26761.57363319397,93.33333333333333
cond_cloudy_t0,158503.1661453247,526,26417.19435755412,87.66666666666667
pressure_in_window_6_max,155126.76431369781,484,25854.460718949635,80.66666666666667
dew_point_f_window_12_min,153725.82424736023,490,25620.97070789337,81.66666666666667
humidity_pct_lag_24,153255.29299116135,1064,25542.548831860226,177.33333333333334
humidity_pct_lag_96,151693.82974004745,1079,25282.304956674576,179.83333333333334
humidity_pct_lag_48,151303.49859523773,977,25217.249765872955,162.83333333333334
minute_t0,150473.7023715973,777,25078.950395266216,129.5
humidity_pct_window_6_min,148595.56738615036,577,24765.927897691727,96.16666666666667
humidity_pct_window_3_min,146911.2052178383,422,24485.200869639713,70.33333333333333
humidity_pct_window_12_max,145103.401055336,635,24183.900175889332,105.83333333333333
humidity_pct_lag_32,143087.47238445282,1021,23847.91206407547,170.16666666666666
humidity_pct_lag_72,143027.51006245613,1000,23837.918343742687,166.66666666666666
pressure_in_lag_8,142830.47261333466,556,23805.07876888911,92.66666666666667
temperature_f_lag_8,138567.96157073975,556,23094.66026178996,92.66666666666667
pressure_in_lag_32,134996.40204191208,720,22499.40034031868,120.0
pressure_in_lag_4,132674.77971696854,506,22112.463286161423,84.33333333333333
dew_point_f_window_48_min,131365.41117191315,567,21894.23519531886,94.5
wind_speed_mph_window_24_min,130450.85013961792,434,21741.808356602985,72.33333333333333
wind_speed_mph_window_3_min,128771.17737531662,482,21461.862895886105,80.33333333333333
pressure_in_window_3_max,128713.37149238586,407,21452.228582064312,67.83333333333333
temperature_f_lag_48,127818.82433319092,740,21303.137388865154,123.33333333333333
dew_point_f_lag_96,126775.75452518463,714,21129.292420864105,119.0
temperature_f_lag_3,125644.34551429749,348,20940.724252382915,58.0
dew_point_f_lag_48,125573.86555194855,675,20928.977591991425,112.5
wind_speed_mph_lag_2,123609.39630413055,553,20601.566050688427,92.16666666666667
pressure_in_window_48_max,122484.17029953003,600,20414.028383255005,100.0
dew_point_f_window_3_std,122468.50363111496,788,20411.417271852493,131.33333333333334
wind_speed_mph_window_3_delta_from_mean,122210.31787824631,1169,20368.38631304105,194.83333333333334
humidity_pct_window_24_max,122187.1088886261,614,20364.51814810435,102.33333333333333
dew_point_f_window_48_max,121925.69261074066,445,20320.948768456776,74.16666666666667
humidity_pct_window_6_std,121158.35420894623,973,20193.05903482437,162.16666666666666
cond_partly_cloudy_t0,119136.46997356415,339,19856.078328927357,56.5
pressure_in_window_3_min,117985.08402347565,353,19664.180670579273,58.833333333333336
pressure_in_lag_3,117488.27283000946,375,19581.378805001576,62.5
pressure_in_window_24_max,114475.04838943481,535,19079.174731572468,89.16666666666667
humidity_pct_window_48_max,114237.09505844116,476,19039.51584307353,79.33333333333333
dew_point_f_window_24_max,112603.4045124054,385,18767.234085400898,64.16666666666667
wind_speed_mph_lag_1,110342.45323085785,404,18390.408871809643,67.33333333333333
wind_speed_mph_window_3_std,109345.4298710823,855,18224.23831184705,142.5
pressure_in_t0,108022.56826400757,457,18003.761377334595,76.16666666666667
dew_point_f_window_6_max,107415.55805015564,356,17902.593008359272,59.333333333333336
dew_point_f_window_12_max,107312.91345024109,368,17885.48557504018,61.333333333333336
dew_point_f_lag_72,106450.86490297318,665,17741.810817162197,110.83333333333333
dew_point_f_lag_3,105045.55600261688,290,17507.592667102814,48.333333333333336
humidity_pct_lag_8,103376.96248841286,664,17229.49374806881,110.66666666666667
humidity_pct_lag_3,101395.17149162292,335,16899.19524860382,55.833333333333336
temperature_f_window_48_min,101031.07267570496,440,16838.512112617493,73.33333333333333
humidity_pct_window_3_delta_from_mean,97889.24811172485,1112,16314.874685287476,185.33333333333334
wind_speed_mph_lag_6,95543.62403392792,540,15923.937338987986,90.0
humidity_pct_window_3_max,93265.90728282928,392,15544.317880471548,65.33333333333333
wind_speed_mph_lag_12,91740.00619983673,554,15290.001033306122,92.33333333333333
wind_speed_mph_lag_4,80172.1729798317,441,13362.028829971949,73.5
dew_point_f_lag_32,78928.75818014145,460,13154.793030023575,76.66666666666667
wind_speed_mph_lag_8,78071.18725204468,533,13011.864542007446,88.83333333333333
temperature_f_lag_6,77491.7330083847,416,12915.288834730783,69.33333333333333
temperature_f_lag_4,76664.27687311172,345,12777.379478851954,57.5
humidity_pct_lag_2,72712.19145488739,358,12118.698575814566,59.666666666666664
dew_point_f_lag_24,67144.17417192459,436,11190.695695320765,72.66666666666667
humidity_pct_lag_1,65188.62170171738,228,10864.770283619562,38.0
cond_mostly_cloudy_t0,64233.713978767395,393,10705.618996461233,65.5
wind_speed_mph_window_48_min,62728.161432266235,346,10454.693572044373,57.666666666666664
wind_speed_mph_lag_3,58845.274740219116,322,9807.54579003652,53.666666666666664
humidity_pct_window_96_max,57458.298966407776,287,9576.383161067963,47.833333333333336
wind_speed_mph_lag_32,51556.77301502228,438,8592.795502503714,73.0
wind_speed_mph_lag_96,50010.11279916763,509,8335.018799861273,84.83333333333333
humidity_pct_window_3_std,49040.56476163864,609,8173.427460273107,101.5
dew_point_f_lag_4,48036.6264667511,226,8006.104411125183,37.666666666666664
wind_speed_mph_lag_72,47875.03148126602,441,7979.171913544337,73.5
dew_point_f_lag_12,45561.58729362488,307,7593.597882270813,51.166666666666664
wind_speed_mph_window_96_min,44913.39670944214,235,7485.566118240356,39.166666666666664
minute_sin_t0,43933.563177108765,382,7322.260529518127,63.666666666666664
pressure_in_lag_1,43515.62250709534,144,7252.603751182556,24.0
dew_point_f_lag_16,42058.65603208542,285,7009.7760053475695,47.5
wind_speed_mph_lag_24,41441.66557788849,396,6906.944262981415,66.0
wind_speed_mph_lag_48,40676.31151485443,405,6779.3852524757385,67.5
dew_point_f_lag_8,40203.15273952484,258,6700.525456587474,43.0
wind_speed_mph_lag_16,35442.08036994934,376,5907.013394991557,62.666666666666664
dew_point_f_lag_6,30081.11812877655,180,5013.519688129425,30.0
cond_drizzle_t0,12083.982648849487,38,2013.9971081415813,6.333333333333333
cond_smoke_t0,1480.8757696151733,43,246.81262826919556,7.166666666666667
cond_windy_t0,637.8995819091797,8,106.31659698486328,1.3333333333333333
cond_vicinity_t0,428.2414207458496,22,71.37357012430827,3.6666666666666665
cond_haze_t0,10.132200241088867,1,1.6887000401814778,0.16666666666666666
cond_dust_t0,0.0,0,0.0,0.0
cond_shower_t0,0.0,0,0.0,0.0
cond_heavy_t0,0.0,0,0.0,0.0
wind_dir_missing_t0,0.0,0,0.0,0.0
