feature,gain_importance,split_importance
wind_speed_mph_lag_48,17270.765502929688,73
wind_speed_mph_lag_8,16683.105529785156,44
wind_speed_mph_window_3_std,16322.239097595215,69
wind_speed_mph_lag_12,15334.591537475586,46
pressure_in_lag_1,14218.066005706787,34
dew_point_f_lag_8,13283.60696029663,43
wind_speed_mph_lag_96,13163.442867279053,56
dew_point_f_lag_6,12911.115592956543,41
wind_speed_mph_lag_4,12568.847927093506,46
wind_speed_mph_lag_24,11594.90060043335,51
humidity_pct_lag_3,10994.444835662842,32
wind_speed_mph_lag_2,9962.502536773682,33
temperature_f_lag_4,8974.80297088623,25
dew_point_f_lag_4,8927.764404296875,27
humidity_pct_window_3_std,8622.605285644531,40
minute_t0,8408.013023376465,29
wind_speed_mph_window_3_delta_from_mean,7146.156921386719,32
humidity_pct_window_3_delta_from_mean,7120.942653656006,42
cond_drizzle_t0,4406.651962280273,10
minute_sin_t0,1709.217025756836,4
cond_mostly_cloudy_t0,649.4439849853516,2
cond_vicinity_t0,0.0,0
cond_dust_t0,0.0,0
cond_windy_t0,0.0,0
cond_heavy_t0,0.0,0
cond_smoke_t0,0.0,0
cond_haze_t0,0.0,0
cond_shower_t0,0.0,0
wind_dir_missing_t0,0.0,0
