feature,gain_importance,split_importance
dew_point_f_lag_8,12586.712699890137,35
dew_point_f_lag_12,11285.240337371826,34
wind_speed_mph_lag_72,11265.135173797607,60
wind_speed_mph_lag_32,11044.60525894165,57
wind_speed_mph_lag_48,9833.30493927002,53
humidity_pct_lag_1,9372.253852844238,15
wind_speed_mph_lag_24,9180.247562408447,44
minute_t0,8113.08044052124,31
dew_point_f_lag_6,6910.308464050293,25
cond_drizzle_t0,5707.083953857422,7
humidity_pct_window_3_delta_from_mean,5701.645095825195,33
wind_speed_mph_lag_16,5524.666603088379,27
wind_speed_mph_lag_3,4827.553127288818,21
cond_mostly_cloudy_t0,4480.549697875977,6
humidity_pct_window_3_std,4076.8095111846924,30
minute_sin_t0,2903.659980773926,10
cond_vicinity_t0,0.0,0
cond_dust_t0,0.0,0
cond_windy_t0,0.0,0
cond_heavy_t0,0.0,0
cond_smoke_t0,0.0,0
cond_haze_t0,0.0,0
cond_shower_t0,0.0,0
wind_dir_missing_t0,0.0,0
